EntryTime,Type,TakeProfitDate,ExitDate,return,slug
2022-06-28 12:00:00,short,2022-08-22 12:00:00,2022-07-06 00:00:00,-0.2173296439063141,ATOM
2022-07-04 00:00:00,long,2022-08-19 00:00:00,2022-08-19 00:00:00,0.2359526699029126,ATOM
2022-08-21 00:00:00,long,2022-09-23 00:00:00,2022-09-22 12:00:00,0.3149198462548046,ATOM
2022-09-22 00:00:00,long,2022-11-08 12:00:00,2022-09-27 12:00:00,-0.0780214820516409,ATOM
2022-09-27 12:00:00,short,2022-11-10 12:00:00,2022-10-26 12:00:00,0.1280100334448162,ATOM
2022-10-28 12:00:00,long,2023-02-13 00:00:00,2022-11-08 12:00:00,-0.1557666297117517,ATOM
2022-11-09 00:00:00,short,2022-11-10 12:00:00,2022-11-10 12:00:00,-0.0379632666448015,ATOM
2022-12-07 00:00:00,short,2022-12-30 12:00:00,2022-12-29 12:00:00,0.0350717984305772,ATOM
2023-01-02 00:00:00,long,2023-02-13 00:00:00,2023-02-13 00:00:00,0.3035588972431078,ATOM
2023-02-13 12:00:00,long,2023-04-19 00:00:00,2023-03-03 00:00:00,-0.1167377561124228,ATOM
2023-02-24 12:00:00,short,2023-03-14 12:00:00,2023-03-14 12:00:00,0.0018190521780756,ATOM
2023-03-15 00:00:00,short,2023-04-13 00:00:00,2023-04-13 00:00:00,0.0996509939086514,ATOM
2023-04-14 00:00:00,long,2023-06-28 12:00:00,2023-04-21 12:00:00,-0.0922725793327906,ATOM
2023-04-21 12:00:00,short,2023-04-28 12:00:00,2023-04-28 00:00:00,-0.0631528759048155,ATOM
2023-04-28 12:00:00,long,2023-06-28 12:00:00,2023-05-01 00:00:00,-0.0438275714895433,ATOM
2023-04-30 12:00:00,short,2023-05-28 12:00:00,2023-05-28 12:00:00,0.0651188604199426,ATOM
2023-05-29 12:00:00,short,2023-09-16 00:00:00,2023-07-18 00:00:00,0.2565451145395043,ATOM
2023-07-13 00:00:00,long,2023-10-03 12:00:00,2023-08-01 00:00:00,-0.0556459877889227,ATOM
2023-07-24 00:00:00,short,2023-09-16 00:00:00,2023-09-16 00:00:00,0.2754828704356409,ATOM
2023-09-17 12:00:00,short,2023-10-06 12:00:00,2023-10-05 12:00:00,0.0008649272019605,ATOM
2023-10-05 00:00:00,short,2023-10-23 12:00:00,2023-10-10 00:00:00,-0.0486459190608036,ATOM
2023-10-24 00:00:00,long,2023-11-27 00:00:00,2023-10-24 12:00:00,-0.055046631403118,ATOM
2023-11-22 00:00:00,long,2023-12-29 12:00:00,2023-12-29 12:00:00,0.3051599346252625,ATOM
2024-01-01 12:00:00,long,2024-02-11 12:00:00,2024-01-03 12:00:00,-0.0853370234800463,ATOM
2024-01-03 12:00:00,short,2024-02-07 12:00:00,2024-02-07 12:00:00,0.049752691300553,ATOM
2024-02-12 12:00:00,long,2024-03-18 12:00:00,2024-03-17 00:00:00,0.1673140954495007,ATOM
2024-03-19 00:00:00,short,2024-05-01 12:00:00,2024-03-21 00:00:00,-0.0638693791572974,ATOM
2024-03-30 00:00:00,long,2024-05-21 12:00:00,2024-04-01 00:00:00,-0.0788644903710661,ATOM
2024-05-02 12:00:00,short,2024-05-27 00:00:00,2024-05-27 00:00:00,0.0104586619924045,ATOM
2024-05-23 12:00:00,short,2024-06-05 00:00:00,2024-06-05 00:00:00,-0.0241311896355518,ATOM
2024-05-30 12:00:00,short,2024-06-05 00:00:00,2024-06-05 00:00:00,-0.0032388900236353,ATOM
2024-06-05 00:00:00,long,2024-06-07 00:00:00,2024-06-05 12:00:00,-0.0002915791929087,ATOM
2024-06-07 12:00:00,short,2024-07-26 00:00:00,2024-07-17 00:00:00,0.2336505519604113,ATOM
2024-07-17 12:00:00,short,2024-08-23 12:00:00,2024-08-23 12:00:00,0.2729861077021256,ATOM
2024-07-30 12:00:00,short,2024-08-23 12:00:00,2024-08-23 12:00:00,0.178734475479849,ATOM
2024-08-26 00:00:00,short,2024-09-19 00:00:00,2024-09-19 00:00:00,0.1451989299334055,ATOM
2024-09-21 00:00:00,long,2024-10-07 12:00:00,2024-10-07 12:00:00,-0.0087738539153323,ATOM
2024-10-09 12:00:00,short,2024-10-27 12:00:00,2024-10-21 00:00:00,-0.1164855340171344,ATOM
2024-10-20 12:00:00,long,2024-10-25 12:00:00,2024-10-25 12:00:00,-0.0586205794631443,ATOM
